prediction_type,metric,rank,feature,value
TP,mean_shap,1,ventilated_apache,0.3095032616674735
TP,mean_shap,2,d1_lactate_min,0.25900315261589507
TP,mean_shap,3,apache_3j_diagnosis,0.25706127129925666
TP,mean_shap,4,gcs_motor_apache,0.25522002644621794
TP,mean_shap,5,d1_spo2_min,0.19854537360241342
TP,mean_shap,6,age,0.17322828322194742
TP,mean_shap,7,d1_heartrate_min,0.1451543958963571
TP,mean_shap,8,d1_sysbp_min,0.14086568678550426
TP,mean_shap,9,gcs_verbal_apache,0.1302034538134018
TP,mean_shap,10,gcs_eyes_apache,0.12643744887417865
TP,mean_abs_shap,1,ventilated_apache,0.37159047453803196
TP,mean_abs_shap,2,age,0.34909753516441394
TP,mean_abs_shap,3,gcs_motor_apache,0.3028335246176322
TP,mean_abs_shap,4,apache_3j_diagnosis,0.2999922996181025
TP,mean_abs_shap,5,d1_lactate_min,0.29491784085345635
TP,mean_abs_shap,6,d1_spo2_min,0.26263505143014954
TP,mean_abs_shap,7,d1_heartrate_min,0.2054429172497605
TP,mean_abs_shap,8,d1_sysbp_min,0.1772924808530006
TP,mean_abs_shap,9,gcs_verbal_apache,0.15416620362893227
TP,mean_abs_shap,10,gcs_eyes_apache,0.14821759573917548
FN,mean_shap,1,age,0.16220093442742023
FN,mean_shap,2,ventilated_apache,0.09301372477894623
FN,mean_shap,3,apache_3j_diagnosis,0.07779593139339754
FN,mean_shap,4,d1_bun_max,0.0757773178040863
FN,mean_shap,5,d1_bun_min,0.07325833882057889
FN,mean_shap,6,gcs_verbal_apache,0.05585905737122949
FN,mean_shap,7,d1_spo2_min,0.04014682268421447
FN,mean_shap,8,d1_heartrate_max,0.03914940999280701
FN,mean_shap,9,gcs_motor_apache,0.03892134327835154
FN,mean_shap,10,d1_sysbp_min,0.03151781797640069
FN,mean_abs_shap,1,age,0.4036810572063307
FN,mean_abs_shap,2,ventilated_apache,0.3065968125017868
FN,mean_abs_shap,3,apache_3j_diagnosis,0.22194436301504164
FN,mean_abs_shap,4,d1_bun_max,0.15558205616475598
FN,mean_abs_shap,5,gcs_motor_apache,0.15375730108163535
FN,mean_abs_shap,6,d1_spo2_min,0.15042173130094594
FN,mean_abs_shap,7,gcs_verbal_apache,0.13467779468599572
FN,mean_abs_shap,8,d1_bun_min,0.13217686664203734
FN,mean_abs_shap,9,d1_heartrate_max,0.12514297087700382
FN,mean_abs_shap,10,d1_heartrate_min,0.12511755651126946
FP,mean_shap,1,ventilated_apache,0.27777342300527486
FP,mean_shap,2,age,0.23707146548448807
FP,mean_shap,3,apache_3j_diagnosis,0.19573030541544895
FP,mean_shap,4,gcs_motor_apache,0.183178394290998
FP,mean_shap,5,d1_spo2_min,0.14124841152307618
FP,mean_shap,6,d1_lactate_min,0.12000505314883599
FP,mean_shap,7,gcs_verbal_apache,0.11798173135753534
FP,mean_shap,8,d1_bun_max,0.11696813550977199
FP,mean_shap,9,d1_sysbp_min,0.11379605001530062
FP,mean_shap,10,gcs_eyes_apache,0.0933419034519233
FP,mean_abs_shap,1,age,0.3747276284941668
FP,mean_abs_shap,2,ventilated_apache,0.35858359763631475
FP,mean_abs_shap,3,apache_3j_diagnosis,0.2422670949725643
FP,mean_abs_shap,4,gcs_motor_apache,0.2418646476628226
FP,mean_abs_shap,5,d1_spo2_min,0.21800335282612296
FP,mean_abs_shap,6,d1_lactate_min,0.1728951025798852
FP,mean_abs_shap,7,d1_sysbp_min,0.15176695570823848
FP,mean_abs_shap,8,d1_bun_max,0.1507574672105416
FP,mean_abs_shap,9,gcs_verbal_apache,0.1482173126273582
FP,mean_abs_shap,10,d1_heartrate_min,0.14257176063724347
TN,mean_shap,1,d1_creatinine_min,0.0060791318765088635
TN,mean_shap,2,h1_heartrate_max,0.0030700787099890788
TN,mean_shap,3,d1_hematocrit_min,0.0029966214076985022
TN,mean_shap,4,d1_hematocrit_max,0.0025117655417424022
TN,mean_shap,5,h1_heartrate_min,0.0024315703589273814
TN,mean_shap,6,apache_3j_bodysystem_Sepsis,0.0021528042703849184
TN,mean_shap,7,d1_arterial_ph_max_missing,0.0019010386995552335
TN,mean_shap,8,h1_sysbp_noninvasive_min,0.0018725793738950734
TN,mean_shap,9,h1_spo2_min,0.0015362792459789514
TN,mean_shap,10,d1_inr_min,0.0014861249209613117
TN,mean_abs_shap,1,age,0.43772396934516244
TN,mean_abs_shap,2,ventilated_apache,0.26711551182876037
TN,mean_abs_shap,3,apache_3j_diagnosis,0.2281474516558729
TN,mean_abs_shap,4,d1_bun_max,0.1372632967500677
TN,mean_abs_shap,5,d1_spo2_min,0.1260430091501932
TN,mean_abs_shap,6,d1_resprate_max,0.12042049611683832
TN,mean_abs_shap,7,gcs_verbal_apache,0.12028359745740677
TN,mean_abs_shap,8,d1_heartrate_max,0.11809762473913206
TN,mean_abs_shap,9,gcs_motor_apache,0.11440696266404735
TN,mean_abs_shap,10,d1_bun_min,0.11425614624532156
