,age,ventilated_apache,apache_3j_diagnosis,d1_bun_max,d1_spo2_min,gcs_motor_apache,gcs_verbal_apache,d1_heartrate_min,d1_heartrate_max,d1_resprate_max,d1_bun_min,urineoutput_apache,d1_sysbp_min,pre_icu_los_days,d1_wbc_min,elective_surgery,d1_resprate_min,d1_lactate_min,d1_hemaglobin_max,gcs_eyes_apache
age,0.0,0.009732671406720565,0.004069548608861573,0.002580190558588436,0.0036544432001371563,0.006319372776342234,0.0025912224267983937,0.0054112861782034255,0.012215785256174895,0.0038129439552020933,0.003749731169576527,0.0012722813940918235,0.004030358088942704,0.002916802100538298,0.0031574226144535948,0.0064529915205993466,0.0027820996698481033,0.00438448800889812,0.002309558964390837,0.0024277565277100997
ventilated_apache,0.009732671406720565,0.0,0.023767072144115726,0.005324071087291603,0.004340289968214102,0.00920226212891291,0.008020166649434977,0.002684455212102883,0.004019352677172471,0.0059479360296551195,0.011514219776187471,0.0037986555637861768,0.00600717776221039,0.003538790018780558,0.0005785514723421154,0.02562638282468467,0.0023169235135099262,0.0038310772495767924,2.473547284621117e-05,0.0011550759865911581
apache_3j_diagnosis,0.004069548608861572,0.023767072144115723,0.0,0.003425671578065194,0.004581479296946037,0.01023427876480735,0.0040171401269831165,0.001706930546846354,0.0015491044426171913,0.0018848980766631093,0.0020007879542574434,0.0014175413281214343,0.002770642407818952,0.0026913526910144958,0.006506016757126547,0.008261245735595911,0.0018306112810198194,0.0034802219959062888,0.0012446716239955075,0.003958332007050005
d1_bun_max,0.0025801905585884364,0.005324071087291604,0.003425671578065194,0.0,0.0041665859076480205,0.00728669766475304,0.004314907811139787,0.0012241284478204286,0.0031917356569216957,0.0028146075088330445,0.000473108389346673,0.0022779177116175084,0.0042761959050818055,0.002237743681954436,0.000827995569075496,0.0007098112193556963,0.0007326261550389436,0.0016169825248877811,0.0018545098335790375,0.0015737152476874515
d1_spo2_min,0.0036544432001371563,0.004340289968214102,0.004581479296946037,0.00416658590764802,0.0,0.006155524716122757,0.0028224230178484477,0.003302425095410443,0.0017301107388634418,0.0010900312510492764,0.002738453862576104,0.0008425899468091169,0.0037525925556836405,0.00126538724523035,0.001010006627561572,0.0009117349466720377,0.0021002033271581857,0.003488936973102271,0.0004165421163167223,0.0029785330970441832
gcs_motor_apache,0.006319372776342234,0.009202262128912913,0.010234278764807352,0.00728669766475304,0.0061555247161227565,0.0,0.0016601883576543215,0.0008331997456586031,0.004178105712183576,0.0018514013052119763,0.0036216187512915308,0.0004958735619094059,0.002904735286496524,0.0011866796057264743,0.0007828584637564135,0.0021199481119394863,0.0011956961740238093,0.0026063844741612456,0.0004592076131269282,0.0020852471483835547
gcs_verbal_apache,0.0025912224267983937,0.008020166649434977,0.004017140126983117,0.004314907811139787,0.0028224230178484477,0.0016601883576543215,0.0,0.003499187565930621,0.006856033234321538,0.004485704666841724,0.0034742430949793826,0.0009543675360204993,0.0013504579106418245,0.0022324986493964033,0.00038600389084708344,0.0006178824992345835,0.0014075374641149185,0.0010375508960046387,0.0006707313275359332,0.0009707769197784636
d1_heartrate_min,0.005411286178203426,0.0026844552121028835,0.0017069305468463544,0.0012241284478204286,0.003302425095410443,0.0008331997456586031,0.003499187565930621,0.0,0.0009237569353146121,0.0014297813171459334,0.0007987113769830342,0.003734686260238072,0.0011852516571720215,0.0017724570789160576,0.0033547162795859787,7.982413382704264e-05,0.0013232629378210202,0.0011615715646634247,0.0014648721900083694,0.001201256212927192
d1_heartrate_max,0.012215785256174897,0.0040193526771724695,0.0015491044426171915,0.003191735656921696,0.0017301107388634418,0.004178105712183575,0.006856033234321538,0.0009237569353146121,0.0,0.0025713082194288293,0.0030111945879928523,0.002044676823342987,0.0014897674351531229,0.0022892209350724433,0.0010987127671746504,0.0011471754204818937,0.0013562821118798384,0.0010592933894544084,0.0007139380285423722,0.001341010183708949
d1_resprate_max,0.0038129439552020933,0.00594793602965512,0.0018848980766631095,0.0028146075088330454,0.0010900312510492764,0.0018514013052119763,0.004485704666841723,0.0014297813171459336,0.0025713082194288293,0.0,0.002466766943308877,0.001954648564028307,0.0017380982568540686,0.0018391115003350874,0.0010211491678959212,6.683185066952642e-05,0.004601085190789102,0.0012680514483438996,0.00047319187816955403,0.0013531144997822233
d1_bun_min,0.0037497311695765274,0.011514219776187471,0.0020007879542574434,0.000473108389346673,0.002738453862576104,0.0036216187512915308,0.003474243094979382,0.0007987113769830341,0.0030111945879928528,0.002466766943308877,0.0,0.0015477851144833155,0.004868709119980203,0.001181139307765391,0.0009977628026105808,0.0008865308145585982,0.0010190185389909847,0.001232994057453192,0.0018858832943056132,0.0007878293935919528
urineoutput_apache,0.0012722813940918235,0.0037986555637861768,0.0014175413281214343,0.0022779177116175092,0.0008425899468091171,0.0004958735619094059,0.0009543675360204995,0.003734686260238072,0.0020446768233429876,0.001954648564028307,0.0015477851144833155,0.0,0.0015225959258941299,0.0007598696507658938,0.0011437113739551296,0.00032165968873454207,0.0011543532717449712,0.0003077459751534789,0.0008271358130208711,0.0005753954142633831
d1_sysbp_min,0.004030358088942703,0.006007177762210389,0.002770642407818953,0.0042761959050818055,0.0037525925556836396,0.002904735286496524,0.0013504579106418245,0.0011852516571720212,0.0014897674351531227,0.0017380982568540688,0.004868709119980203,0.0015225959258941299,0.0,0.0014391975295222732,0.0005125202675367666,0.0010181106394059369,0.001968986293027965,0.0026693922707812174,0.00026288333672681407,0.001040923401099332
pre_icu_los_days,0.002916802100538298,0.003538790018780557,0.0026913526910144958,0.002237743681954436,0.0012653872452303497,0.0011866796057264743,0.0022324986493964033,0.001772457078916058,0.0022892209350724433,0.0018391115003350874,0.0011811393077653908,0.0007598696507658937,0.0014391975295222732,0.0,0.0011044391275244103,0.0005319147193933763,0.0008126846245492059,0.0004343679162706204,0.0012097976552283658,0.0008028582479652622
d1_wbc_min,0.0031574226144535948,0.0005785514723421154,0.006506016757126546,0.000827995569075496,0.001010006627561572,0.0007828584637564135,0.00038600389084708344,0.0033547162795859796,0.0010987127671746504,0.0010211491678959212,0.000997762802610581,0.0011437113739551296,0.0005125202675367666,0.0011044391275244103,0.0,0.00205030162142113,0.0007388196709739858,0.0005309240985685158,0.0005194365733464203,0.0003072248690067555
elective_surgery,0.0064529915205993466,0.025626382824684664,0.008261245735595911,0.0007098112193556962,0.0009117349466720376,0.0021199481119394863,0.0006178824992345836,7.982413382704275e-05,0.0011471754204818937,6.683185066952641e-05,0.0008865308145585982,0.0003216596887345422,0.0010181106394059369,0.0005319147193933763,0.00205030162142113,0.0,3.520739197132034e-05,0.001972871896028868,0.0005151052525917047,0.0007381346084093571
d1_resprate_min,0.002782099669848103,0.002316923513509926,0.0018306112810198194,0.0007326261550389435,0.002100203327158186,0.0011956961740238086,0.0014075374641149185,0.0013232629378210202,0.0013562821118798384,0.004601085190789102,0.0010190185389909844,0.0011543532717449712,0.001968986293027965,0.0008126846245492059,0.0007388196709739858,3.520739197132033e-05,0.0,0.0009691828425094344,0.0005558680123225651,0.0011101667348899428
d1_lactate_min,0.00438448800889812,0.0038310772495767915,0.0034802219959062888,0.0016169825248877811,0.003488936973102271,0.002606384474161246,0.0010375508960046387,0.0011615715646634247,0.0010592933894544086,0.0012680514483438998,0.0012329940574531918,0.00030774597515347896,0.0026693922707812182,0.00043436791627062053,0.0005309240985685158,0.001972871896028868,0.0009691828425094344,0.0,0.000563264129635195,0.0010771276440780626
d1_hemaglobin_max,0.0023095589643908365,2.4735472846211102e-05,0.0012446716239955075,0.0018545098335790377,0.00041654211631672226,0.0004592076131269283,0.0006707313275359333,0.0014648721900083694,0.0007139380285423722,0.00047319187816955403,0.0018858832943056132,0.0008271358130208711,0.000262883336726814,0.0012097976552283656,0.0005194365733464202,0.0005151052525917047,0.0005558680123225651,0.0005632641296351948,0.0,0.00038425959955366834
gcs_eyes_apache,0.0024277565277100992,0.0011550759865911581,0.003958332007050006,0.0015737152476874518,0.0029785330970441832,0.0020852471483835547,0.0009707769197784636,0.001201256212927192,0.0013410101837089488,0.0013531144997822229,0.000787829393591953,0.0005753954142633829,0.0010409234010993322,0.0008028582479652625,0.0003072248690067555,0.0007381346084093571,0.0011101667348899426,0.0010771276440780626,0.0003842595995536684,0.0
