Model,Threshold,AUROC,AUPRC,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
XGBoost,0.5,0.9044,0.5835,0.9328,0.7461,0.3361,0.4634,16579,181,1051,532
Selected LightGBM,0.5,0.9019,0.5824,0.9013,0.4486,0.6286,0.5235,15537,1223,588,995
LightGBM Tuned Clean,0.6,0.9019,0.5824,0.9164,0.5144,0.5534,0.5332,15933,827,707,876
LightGBM,0.5,0.9034,0.581,0.9329,0.7441,0.3399,0.4666,16575,185,1045,538
XGBoost Tuned Clean,0.6,0.9011,0.5782,0.9158,0.5115,0.5338,0.5224,15953,807,738,845
LightGBM Balanced,0.5,0.9015,0.5699,0.8421,0.3258,0.7757,0.4589,14219,2541,355,1228
XGBoost Balanced,0.5,0.898,0.5631,0.8647,0.3573,0.71,0.4754,14738,2022,459,1124
Random Forest,0.5,0.8901,0.5526,0.929,0.8431,0.2173,0.3456,16696,64,1239,344
Logistic Regression,0.5,0.8847,0.5092,0.9258,0.6632,0.2849,0.3986,16531,229,1132,451
Decision Tree,0.5,0.8227,0.4144,0.9207,0.5875,0.2735,0.3733,16456,304,1150,433
